ts,score,ear,gaze_h,gaze_v
1762160087.524,42.500,0.2671,1.0000,0.6217
1762160087.734,45.000,0.2633,1.0000,0.6861
1762160087.925,47.500,0.2771,1.0000,0.7887
1762160088.037,50.000,0.2678,1.0000,0.7149
1762160088.229,52.500,0.2667,1.0000,0.4395
1762160088.437,55.000,0.2554,1.0000,0.4071
1762160088.631,55.815,0.2867,1.0000,0.6856
1762160088.739,56.096,0.2822,1.0000,0.7498
1762160088.932,57.160,0.2499,1.0000,0.5558
1762160089.141,57.630,0.2905,1.0000,0.6182
1762160089.332,58.156,0.2896,1.0000,0.5745
1762160089.444,58.721,0.2936,1.0000,0.5307
1762160089.638,59.195,0.2773,1.0000,0.5132
1762160089.846,59.327,0.2213,1.0000,0.2517
1762160090.038,60.330,0.2800,1.0000,0.3552
1762160090.148,61.569,0.2850,1.0000,0.2360
1762160090.339,62.477,0.2789,1.0000,0.2270
1762160090.549,64.134,0.2811,1.0000,0.0000
1762160090.740,64.741,0.2855,1.0000,0.1228
1762160090.852,65.124,0.2798,1.0000,0.1322
1762160091.044,65.235,0.2877,1.0000,0.1671
1762160091.257,65.328,0.2725,1.0000,0.1635
1762160091.445,65.402,0.2666,1.0000,0.1618
1762160091.556,65.230,0.2466,1.0000,0.1748
1762160091.750,65.417,0.2897,1.0000,0.1431
1762160091.957,66.192,0.2759,1.0000,0.0000
1762160092.149,66.238,0.2785,1.0000,0.1103
1762160092.260,66.766,0.2843,1.0000,0.0000
1762160092.453,67.137,0.2897,1.0000,0.0000
1762160092.661,63.999,0.1867,1.0000,0.0000
1762160092.852,65.200,0.2504,1.0000,0.0000
1762160092.967,66.040,0.2622,1.0000,0.0000
1762160093.156,66.628,0.2747,1.0000,0.0000
1762160093.364,67.039,0.2653,1.0000,0.0000
1762160093.557,67.328,0.2731,1.0000,0.0000
1762160093.764,67.529,0.2765,1.0000,0.0000
1762160093.959,67.671,0.2554,1.0000,0.0000
1762160094.068,67.769,0.2579,1.0000,0.0000
1762160094.260,67.839,0.2678,1.0000,0.0000
1762160094.470,67.079,0.2495,1.0000,0.1744
1762160094.660,62.292,0.1887,1.0000,0.3915
1762160094.773,62.050,0.2415,1.0000,0.3433
1762160094.964,61.603,0.2869,1.0000,0.4961
1762160095.174,60.918,0.2866,1.0000,0.5787
1762160095.367,60.432,0.3231,1.0000,0.5801
1762160095.476,60.117,0.3160,1.0000,0.5745
1762160095.670,59.565,0.3041,1.0000,0.6484
1762160095.877,59.349,0.2815,1.0000,0.6103
1762160096.070,58.733,0.2580,1.0000,0.7136
1762160096.170,58.242,0.2432,1.0000,0.6545
1762160096.277,58.131,0.3001,1.0000,0.6751
1762160096.468,58.280,0.2820,1.0000,0.6248
1762160096.583,58.549,0.2842,1.0000,0.5882
1762160096.774,58.897,0.2776,1.0000,0.5529
1762160096.886,59.052,0.2783,1.0000,0.5723
1762160097.076,59.203,0.2650,1.0000,0.5629
1762160097.285,59.367,0.2625,1.0000,0.5501
1762160097.482,59.447,0.2681,1.0000,0.5578
